"d_phi_p [deg]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
4,128,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,136,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
5,0,-13.6696535606501,7.01332217422917,7.2367785010816,-41.3774242372326,19.3839326428651,1.64723560376241,3.52182433659622,14.5113564055371
5,8,-13.6703213590653,7.01347457872512,7.23681513385814,-41.3794830533439,19.3846911498848,1.64709482803696,3.52175930845561,14.5115828873948
5,16,-13.6707949504088,7.0135826933348,7.23684119967869,-41.3809430811043,19.3852290703839,1.64699502214692,3.52171324636338,14.5117436201909
5,24,-13.6712696899266,7.01369109662825,7.23686740067098,-41.3824066071557,19.3857682951743,1.64689499913765,3.52166711816776,14.5119048389773
5,32,-13.6719430321073,7.01384489498689,7.23690468610615,-41.3844823141739,19.3865330997455,1.64675317508989,3.52160177086073,14.5121336673638
5,40,-13.6735780743548,7.01421857807344,7.23699582673615,-41.3895223019387,19.3883902375367,1.64640899862954,3.52144347234612,14.5126901258127
5,48,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,56,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,64,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,72,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,80,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,88,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,96,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,104,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,112,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,120,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,128,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
5,136,-13.4170760914656,6.95274831750605,7.21472161976896,-40.6098971036789,19.1018508414085,1.69678192586837,3.54108351801811,14.4226081004899
6,0,-13.7758560859118,12.8042404776429,7.57268838177647,-43.0599710809697,20.7183936110245,1.8477255352424,3.51880533862594,19.0711719575066
6,8,-13.7765304636339,12.8046389119966,7.57271627583738,-43.0621761540309,20.7192239050199,1.84768803782525,3.51874909992328,19.0716173601032
6,16,-13.777008721877,12.804921499767,7.57273615395845,-43.0637398846399,20.7198127292646,1.84766146988229,3.51870925741397,19.0719333483832
6,24,-13.7774881404137,12.8052047933489,7.57275616027869,-43.0653073482244,20.7204029759186,1.84763485797831,3.51866935244725,19.0722501995608
6,32,-13.778168120417,12.805606635596,7.57278467333277,-43.0675304453246,20.7212401377776,1.84759714830364,3.51861281218145,19.0726997685197
6,40,-13.7798192876927,12.806582581997,7.57285457955299,-43.0729281929111,20.723272932846,1.84750575055116,3.51847580372695,19.0737922443954
6,48,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,56,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,64,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,72,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,80,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,88,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,96,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,104,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,112,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,120,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,128,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
6,136,-13.520473854232,12.6525038204833,7.55306680467748,-42.2387943634572,20.4100139480725,1.85829634838719,3.53606687672424,18.9008168458701
7,0,-13.694893883718,14.5722396254921,12.4648547967509,-43.7873041861682,22.0745282520582,0.254324858895978,4.65288254264836,23.4881652330901
7,8,-13.6955748801289,14.572687230115,12.4650537669929,-43.7895893144305,22.075430737202,0.254250979946238,4.65290786660846,23.4888460826698
7,16,-13.6960578311478,14.5730046917519,12.4651949739213,-43.7912098059318,22.0760707568881,0.254198601815902,4.65292585878957,23.4893290382713
7,24,-13.696541952932,14.5733229463638,12.4653366069242,-43.7928341572815,22.0767123220215,0.254146109641242,4.65294392192634,23.4898132551678
7,32,-13.6972286021852,14.5737743797343,12.4655376344006,-43.7951379221677,22.0776222690979,0.254071680048069,4.65296958848527,23.4905001947036
7,40,-13.6988959564553,14.5748707675811,12.4660264797893,-43.8007314613801,22.0798317957897,0.253891054329972,4.65303214172116,23.4921690120292
7,48,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,56,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,64,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,72,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,80,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,88,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,96,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,104,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,112,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,120,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,128,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
7,136,-13.4369023847126,14.4016850321995,12.3810119662041,-42.936544414118,21.739241425826,0.279210133703981,4.63979654532542,23.2305610253254
